COMPOUND	COMPOUND_NAME	SMILES
702627	5-AMINOTHIAZOLO[4,5-D]PYRIMIDINE-2,7(3H,6H)-DIONE	CCC=CCn1c(=O)sc2c(=O)[nH]c(N)nc12
702631	3-[2-((S)-PYRROLIDINYL)METHOXY]PYRIDINE	CN1CCCC1COc2cccnc2
702632	3-(4-PIPERAZINYL)-6-HYDROXYBENZISOXAZOLE ANALOGS-1	Oc1ccc2c(noc2c1)N3CCN(CCCC(=O)c4ccc(F)cc4)CC3
704352	BOMBESIN	CSCCC(NC(=O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)CNC(=O)C(NC(=O)C(C)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CCC(=O)N)NC(=O)C(CC(=O)N)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(=O)N)NC(=O)C4CCC(=O)N4)C(C)C)C(=O)N
704359	BROMOCRIPTINE	CC(C)CC1N2C(=O)C(NC(=O)C3CN(C)C4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(OC2(O)C7CCCN7C1=O)C(C)C
704375	CGP-42112	CCC(C)C(NC(=O)C1CCCN1C(=O)C(Cc2c[nH]cn2)NC(=O)C(CCCCNC(=O)C(CCCNC(=N)N)NC(=O)OCc3ccccc3)NC(=O)C(Cc4ccc(O)cc4)NC(=O)c5cccnc5)C(=O)O
704381	2-CHLOROADENOSINE	Nc1nc(Cl)nc2n(cnc12)C3OC(CO)C(O)C3O
704397	CISPLATIN	N.N.Cl[Pt]Cl
701793	AMYGDALIN(D)	OCC1OC(OCC2OC(OC(C#N)c3ccccc3)C(O)C(O)C2O)C(O)C(O)C1O
701794	VIDARABINE PHOSPHATE	Nc1ncnc2n(cnc12)C3OC(COP(=O)(O)O)C(O)C3O
701795	RAZINODIL	COc1cc(cc(OC)c1OC)C(=O)OC(CN2CCOCC2)Cn3nnc4c(OC)c(OC)c(OC)cc4c3=O
701796	SUCLOFENIDE	NS(=O)(=O)c1ccc(N2C(=O)CC(C2=O)c3ccccc3)c(Cl)c1
701797	ETOFENAMATE	OCCOCCOC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F
701798	PARSALMIDE	CCCCNC(=O)c1cc(N)ccc1OCC#C
701799	TRELOXINATE	COC(=O)C1Oc2ccc(Cl)cc2Cc3cc(Cl)ccc3O1
701801	DEHYDRO-7-METHYLTESTOSTERONE	CC1CC2=CC(=O)C=CC2(C)C3CCC4(C)C(O)CCC4C13
701802	DANITRACIN	CN1CCC(=C2c3ccccc3C(O)c4ccccc24)CC1
701014	CP-96345	COc1ccccc1CNC2C(C(c3ccccc3)c4ccccc4)N5CCC2CC5
701839	BIFLURANOL	CCC(C(C)c1ccc(O)c(F)c1)c2ccc(O)c(F)c2
701840	FENCLOFENAC	OC(=O)Cc1ccccc1Oc2ccc(Cl)cc2Cl
701841	CETRAXATE	NCC1CCC(CC1)C(=O)Oc2ccc(CCC(=O)O)cc2
701842	SULBENICILLIN	CC1(C)SC2C(NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2C1C(=O)O
701843	METIAMIDE	CNC(=S)NCCSCc1nc[nH]c1C
701844	CETAMOLOL	CNC(=O)COc1ccccc1OCC(O)CNC(C)(C)C
701845	CARTAZOLATE	CCCCNc1c(cnc2n(CC)ncc12)C(=O)OCC
701846	TIOXACIN	CCn1cc(C(=O)O)c(=O)c2c3sc(=O)n(C)c3ccc12
701847	TIMEPIDIUM BROMIDE	[Br-].COC1CC(=C(c2cccs2)c3cccs3)C[N+](C)(C)C1
701848	ENDRYSONE	CC1CC2C3CCC(C(=O)C)C3(C)CC(O)C2C4(C)C=CC(=O)C=C14
701060	N-NITROSODIETHYLAMINE	CCN(CC)N=O
701905	NIMUSTINE	Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1
704604	NEUROTENSIN	CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C2CCCN2C(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C3CCCN3C(=O)C(CCCCN)NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CC(C)C)NC(=O)C5CCC(=O)N5)C(=O)NC(CC(C)C)C(=O)O
704615	PARALDEHYDE	CC1OC(C)OC(C)O1
704640	COCCULIN	CC(=C)C1C2OC(=O)C1C3(O)CC4OC45C(=O)OC2C53C.CC(C)(O)C1C2OC(=O)C1C3(O)CC4OC45C(=O)OC2C53C
704644	PIPERIDINE-4-SULPHONIC ACID	OS(=O)(=O)C1CCNCC1
704656	PROCATEROL	CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12
704676	SAFROLE	C=CCc1ccc2OCOc2c1
704677	SALINOMYCIN	CCC(C1CCC(C)C(O1)C(C)C(O)C(C)C(=O)C(CC)C2OC3(OC4(CCC(C)(O4)C5CCC(O)(CC)C(C)O5)C(O)C=C3)C(C)CC2C)C(=O)O
704701	SOMATREM	N******************************************************1****************************************************************************************************************(*****************2*******(**O)ss2)ss1
700283	ICI 216,140	CNC(=O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(C)NC(=O)C(NC(=O)C(C)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc4c[nH]cn4)NC(=O)C(C)C)C(C)C
700284	ICL-199,441 HYDROCHLORIDE	CN(C(CN1CCCC1)c2ccccc2)C(=O)Cc3ccc(Cl)c(Cl)c3
701803	PRODIPINE	CC(C)N1CCC(CC1)(c2ccccc2)c3ccccc3
701804	NAFRONYL	CCN(CC)CCOC(=O)C(CC1CCCO1)Cc2cccc3ccccc23
701805	ZOLAZEPAM	CN1C(=O)CN=C(c2c(C)nn(C)c12)c3ccccc3F
701806	FLUBENDAZOLE	COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c3ccc(F)cc3
701807	ETOFIBRATE	CC(C)(Oc1ccc(Cl)cc1)C(=O)OCCOC(=O)c2cccnc2
701808	INDOPROFEN	CC(C(=O)O)c1ccc(cc1)N2Cc3ccccc3C2=O
701809	MORCLOFONE	COc1cc(cc(OC)c1OCCN2CCOCC2)C(=O)c3ccc(Cl)cc3
701811	GUANAZODINE	NC(=N)NCC1CCCCCCN1
700322	KETOTIFEN	CN1CCC(=C2c3ccsc3C(=O)Cc4ccccc24)CC1
700323	KINETIN	C(Nc1ncnc2[nH]cnc12)c3ccco3
700324	KMD-3213	CC(Cc1cc2CCN(CCCO)c2c(c1)C(=O)N)NCCOc3ccccc3OCC(F)(F)F
700325	KN-93	COc1ccc(cc1)S(=O)(=O)N(CCO)c2ccccc2CN(C)CC=Cc3ccc(Cl)cc3
700329	KYNURENIC ACID	OC(=O)c1cc(O)c2ccccc2n1
702633	BENZODIOXANE DERIVATIVE	C(CNCC1COc2ccccc2O1)COc3ccc4OCOc4c3
702635	3[2-(PYRROLIDIN-1YL)ETHYL]INDOLES	C(Cc1c[nH]c2ccc(cc12)n3cnnc3)N4CCCC4
702679	CORMETASONE	CC1CC2C3CC(F)(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
702686	CONGOCIDINE	Cn1cc(NC(=O)c2cc(NC(=O)CNC(=N)N)cn2C)c(c1)C(=O)NCCC(=N)N
702687	PLATIFILLIN	CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23
700331	L-(+)-2-AMINO-5-PHOSPHONOVALERIC ACID	NC(CCCP(=O)(O)O)C(=O)O
700332	L-365,260,[3-METHYLPHENYL-2,4,6-3H]-	CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3ccccc3)c4ccccc14
700333	L-371912	CNC(Cc1ccccc1)C(=O)N2CCCC2C(=O)NCC3CCC(N)CC3
700334	L-690,330	CC(Oc1ccc(O)cc1)(P(=O)(O)O)P(=O)(O)O
700335	ICX5601627	CS(=O)(=O)Nc1ccc(Cc2noc(n2)c3ccc4[nH]cc(CCN)c4c3)cc1
700337	L-703606	Ic1ccccc1CNC2C(C(c3ccccc3)c4ccccc4)N5CCC2CC5
700338	(-)-L-740093	CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(N3CC4CCC(CC4)C3)c5ccccc15
701913	OCTRIPTYLINE	CNCCC=C1c2ccccc2C3CC3c4ccccc14
701914	SUXEMERID	CN1C(C)(C)CC(CC1(C)C)OC(=O)CCC(=O)OC2CC(C)(C)N(C)C(C)(C)C2
701915	TAMAMPICILLIN	CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)OC4OC(=O)c5ccccc45
701916	FAZADINIUM BROMIDE	[Br-].[Br-].Cc1c(c2ccccc2)n(N=Nn3c(c(C)[n+]4ccccc34)c5ccccc5)c6cccc[n+]16
701917	STIRIPENTOL	CC(C)(C)C(O)C=Cc1ccc2OCOc2c1
701918	AZACLORZINE	Clc1ccc2Sc3ccccc3N(C(=O)CCN4CCN5CCCC5C4)c2c1
701919	PEMERID	CN(C)CCCOC1CC(C)(C)N(C)C(C)(C)C1
701920	AMAFOLONE	CC12CCC3C(CCC4CC(N)C(O)CC43C)C2CCC1=O
701921	PIROCTONE	CC(Cc1cc(C)cc(=O)n1O)CC(C)(C)C
701922	TINABINOL	CCCCCC(C)C(C)c1cc(O)c2C3=C(SCCC3)C(C)(C)Oc2c1
704958	BAMETHAN	CCCCNCC(O)c1ccc(O)cc1
704975	NICOFURATE	COC(=O)c1cc(oc1C)C(OC(=O)c2cccnc2)C(OC(=O)c3cccnc3)C(COC(=O)c4cccnc4)OC(=O)c5cccnc5
704997	THALICARPINE	COc1cc(CC2N(C)CCc3cc(OC)c(OC)cc23)c(Oc4cc5CC6N(C)CCc7cc(OC)c(OC)c(-c5cc4OC)c67)cc1OC
705023	FENESTREL	CCC1C(C)C(CC=C1c2ccccc2)C(=O)O
701114	3,3',5-TRIIODOTHYROPROPIC ACID	OC(=O)CCc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1
701115	ALLOBARBITAL	C=CCC1(CC=C)C(=O)NC(=O)NC1=O
701116	FLUPREDNISOLONE	CC12CC(O)C3C(CC(F)C4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO
701117	BENZPIPERYLON	CN1CCC(CC1)n2[nH]c(c(Cc3ccccc3)c2=O)c4ccccc4
701119	PIPOBROMAN	BrCCC(=O)N1CCN(CC1)C(=O)CCBr
702703	SIBIROMYCIN	CNC1C(C)OC(Oc2cc3C(=O)n4cc(C=CC)cc4C(O)Nc3c(O)c2C)C(O)C1(C)O
702704	EULICIN	NCCCC(NC(=O)CCCCCCCCNC(=N)N)C(O)CCCCCCCCNC(=N)N
702705	OLEUROPEIN	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C(=CC)C1CC(=O)OCCc3ccc(O)c(O)c3
702706	CONDELPHINE	CCN1CC2(COC)CCC(O)C3(C4CC5C(OC(=O)C)C4C(O)(CC5OC)C6CC32)C61
702707	KAEMPFERITRIN	CC1OC(Oc2cc(O)c3c(=O)c(OC4OC(C)C(O)C(O)C4O)c(oc3c2)c5ccc(O)cc5)C(O)C(O)C1O
704407	COLISTIMETHATE	CCC(C)CCCCC(=O)NCCC(NCS(=O)(=O)O)C(=O)NC(C(C)O)C(=O)NC(CCNCS(=O)(=O)O)C(=O)NC1CCNC(=O)C(NC(=O)C(CCNCS(=O)(=O)O)NC(=O)C(CCNCS(=O)(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS(=O)(=O)O)NC1=O)C(C)O
704408	CORTICOTROPIN	CSCCC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCC(=O)O)C(=O)NC(Cc2c[nH]cn2)C(=O)NC(Cc3ccccc3)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc4c[nH]c5ccccc45)C(=O)NCC(=O)O
704411	INDINAVIR	CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc3ccccc3)C(=O)NC4C(O)Cc5ccccc45
704413	COPPER(II) OXIDE	O=[Cu]
704420	D-ALANINE	CC(N)C(=O)O
704421	ICATIBANT	NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)N2CC(O)CC2C(=O)NCC(=O)NC(Cc3cccs3)C(=O)NC(CO)C(=O)N4Cc5ccccc5CC4C(=O)N6C(CC7CCCCC76)C(=O)NC(CCCNC(=N)N)C(=O)O
704434	DIRITHROMYCIN	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)C(C)(O)CC(C)C4NC(COCCOC)OC(C4C)C1(C)O
701017	D-LYSERGIC ACID	CN1CC(C=C2C1Cc3c[nH]c4cccc2c34)C(=O)O
701018	CODEINE	COc1ccc2CC3C4C=CC(O)C5Oc1c2C54CCN3C
701021	NALORPHINE	OC1C=CC2C3Cc4ccc(O)c5OC1C2(CCN3CC=C)c54
701022	MC 258717	CC(C)N=C(Nc1cccc(c1)C(F)(F)F)c2ccncc2
701024	SPERMINE	NCCCNCCCCNCCCN
701025	(-)-P-BROMOTETRAMISOLE OXALATE	Brc1ccc(cc1)C2CN3CCSC3=N2
700330	L(+)-2-AMINO-4-PHOSPHONOBUTYRIC ACID	NC(CCP(=O)(O)O)C(=O)O
701849	GLIFLUMIDE	COc1ccc(F)cc1C(C)NC(=O)Cc2ccc(cc2)S(=O)(=O)Nc3ncc(CC(C)C)cn3
701850	FOSAZEPAM	CP(=O)(C)CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13
701851	TISOCROMIDE	COc1cc2CC(OS(=O)(=O)c2cc1OC)C(=O)NC(C)CC(C)(C)N(C)C
701906	CLOPIRAC	Cc1cc(CC(=O)O)c(C)n1c2ccc(Cl)cc2
701907	PRANOLIUM CHLORIDE	[Cl-].CC(C)[N+](C)(C)CC(O)COc1cccc2ccccc12
701908	ETOFORMIN	CCCCNC(=NCC)NC(=N)N
701120	PHENIPRAZINE	CC(Cc1ccccc1)NN
701121	BETHANIDINE	CNC(=NC)NCc1ccccc1
701122	HEXAMETHONIUM BROMIDE	[Br-].[Br-].C[N+](C)(C)CCCCCC[N+](C)(C)C
701124	AMINOPROMAZINE	CN(C)CC(CN1c2ccccc2Sc3ccccc13)N(C)C
701125	BROXURIDINE	OCC1OC(CC1O)n2cc(Br)c(=O)[nH]c2=O
701126	NIKETHAMIDE	CCN(CC)C(=O)c1cccnc1
701127	CHLOROPYRAMINE	CN(C)CCN(Cc1ccc(Cl)cc1)c2ccccn2
704705	SR-120819A	CN(C)CC1CCC(CNC(=N)c2ccc(CC(NC(=O)C(Cc3ccccc3)NS(=O)(=O)c4ccc5ccccc5c4)C(=O)N6CCCC6)cc2)CC1
704706	SR-48692	COc1cccc(OC)c1c2cc(nn2c3ccnc4cc(Cl)ccc34)C(=O)NC5(C6CC7CC(C6)CC5C7)C(=O)O
704709	STREPTOLYDIGIN	CNC(=O)C(C)C1N(C2CCC(O)C(C)O2)C(=O)C(=C(O)C=CC(=CC(C)C3OC4(C)OC(CCC54CO5)C3C)C)C1=O
704712	SUCRALFATE	[O-]S(=O)(=O)OCC1OC(OC2(COS(=O)(=O)[O-])OC(OS(=O)(=O)[O-])C(OS(=O)(=O)[O-])C2OS(=O)(=O)[O-])C(OS(=O)(=O)[O-])C(OS(=O)(=O)[O-])C1OS(=O)(=O)[O-]
704724	TAURINE	NCCS(=O)(=O)O
704732	TACA	NCC=CC(=O)O
704744	D-TUBOCURARINE CHLORIDE	[Cl-].[Cl-].COc1cc2CC[N+](C)(C)C3Cc4ccc(O)c(Oc5cc6C(Cc7ccc(Oc(c1O)c32)cc7)[NH+](C)CCc6cc5OC)c4
704749	TYRPHOSTIN AG 835	CC(NC(=O)C(=Cc1ccc(O)c(O)c1)C#N)c2ccccc2
701812	TOSIFEN	CC(Cc1ccccc1)NC(=O)NS(=O)(=O)c2ccc(C)cc2
701813	MEDIFOXAMINE	CN(C)CC(Oc1ccccc1)Oc2ccccc2
701814	TIARAMIDE	OCCN1CCN(CC1)C(=O)Cn2c(=O)sc3ccc(Cl)cc23
701815	ACECAINIDE	CCN(CC)CCNC(=O)c1ccc(NC(=O)C)cc1
701816	BUTOCTAMIDE	CCCCC(CC)CNC(=O)CC(C)O
701817	AMDINOCILLIN PIVOXIL	CC(C)(C)C(=O)OCOC(=O)C1N2C(SC1(C)C)C(N=CN3CCCCCC3)C2=O
701029	ANTALARMIN	CCCCN(CC)c1nc(C)nc2n(c(C)c(C)c12)c3c(C)cc(C)cc3C
701005	LEVALLORPHAN	Oc1ccc2CC3C4CCCCC4(CCN3CC=C)c2c1
701006	ERGOSINE	CC(C)CC1N2C(=O)C(C)(NC(=O)C3CN(C)C4Cc5c[nH]c6cccc(C4=C3)c56)OC2(O)C7CCCN7C1=O
701831	PIVAMPICILLIN	CC(C)(C)C(=O)OCOC(=O)C1N2C(SC1(C)C)C(NC(=O)C(N)c3ccccc3)C2=O
701832	LINSIDOMINE	N=c1[cH-][n+](no1)N2CCOCC2
701833	OXACEPROL	CC(=O)N1CC(O)CC1C(=O)O
701044	L-158809	CCc1nc2c(C)cc(C)nc2n1Cc3ccc(cc3)c4ccccc4c5nnn[nH]5
701047	THIOKYNURENIC ACID	OC(=O)c1cc(S)c2ccccc2n1
701048	N-(2-AMINOETHYL)-3-IODOBENZAMIDE HYDROCHLORIDE	NCCNC(=O)c1cccc(I)c1
701049	R-(+)-7-HYDROXY-[3H]DPAT	CCCN(CCC)C1CCc2ccc(O)cc2C1
701050	CHOLIC ACID	CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
701051	U0126	NC(=C(C#N)C(=C(N)Sc1ccccc1N)C#N)Sc2ccccc2N
701052	MC 288769	COc1ccc(cc1OC)C2=NN=C(C)c3cc(OC)c(OC)cc3C2
701053	ADRENOSTERONE	CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1=O
702694	PONTICIN	COc1ccc(C=Cc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c2)cc1O
702829	ARTESUNATE	CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C23OO4
702831	ENOCITABINE	CCCCCCCCCCCCCCCCCCCCCC(=O)Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
702832	CITICOLINE	C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1OC(C(O)C1O)n2ccc(N)nc2=O
702834	OXYPERTINE	COc1cc2[nH]c(C)c(CCN3CCN(CC3)c4ccccc4)c2cc1OC
702835	KETAZOLAM	CN1C(=O)CN2C(=O)C=C(C)OC2(c3ccccc3)c4cc(Cl)ccc14
702836	PERICIAZINE	OC1CCN(CCCN2c3ccccc3Sc4ccc(C#N)cc24)CC1
700449	METIPRANOLOL	CC(C)NCC(O)COc1cc(C)c(OC(=O)C)c(C)c1C
700451	MEXILETINE	CC(N)COc1c(C)cccc1C
701970	CLOFEVERINE	Oc1cc2CCNC(COc3ccc(Cl)cc3)c2cc1O
701971	THEOFIBRATE	Cn1c(=O)n(C)c2ncn(CCOC(=O)C(C)(C)Oc3ccc(Cl)cc3)c2c1=O
701972	NIZOFENONE	CCN(CC)Cc1nccn1c2ccc(cc2C(=O)c3ccccc3Cl)[N+](=O)[O-]
701973	TIBEZONIUM IODIDE	[I-].CC[N+](C)(CC)CCSC1=Nc2ccccc2N=C(C1)c3ccc(Sc4ccccc4)cc3
701974	CLOVOXAMINE	COCCCCC(=NOCCN)c1ccc(Cl)cc1
701975	PINAFIDE	[O-][N+](=O)c1cc2C(=O)N(CCN3CCCC3)C(=O)c4cccc(c1)c42
701976	BUFROLIN	CCCCc1cc2c(=O)cc([nH]c2c3c(=O)cc([nH]c13)C(=O)O)C(=O)O
705033	MECLORISONE DIBUTYRATE	CCCC(=O)OCC(=O)C1(OC(=O)CCC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(Cl)CC21C
705035	SCOPAFUNGIN	CNC(=N)NCCCC=CCCCC(C)CC(C)C1OC(=O)C(C)C(O)C=CC(C)C(O)CC(O)C(C)C(O)CCC(C)C(O)CC2(O)OC(CC(O)C2O)CC(CC(O)CC(O)C(C)C(O)C=CC=CC1C)OC(=O)CC(=O)O
705039	FENOTEROL	CC(Cc1ccc(O)cc1)NCC(O)c2cc(O)cc(O)c2
705064	PECOCYCLINE	CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(=C1O)C(=O)NCN4CCCC(C4)C(=O)O)C(=O)c5c(O)cccc5C3(C)O
705068	OXIDRONIC ACID	OC(P(=O)(O)O)P(=O)(O)O
702636	EPOTHILONE D	CC1CCCC2OC2CC(OC(=O)CC(O)C(C)(C)C(=O)C(C)C1O)C(=Cc3csc(C)n3)C
702638	COFORMYCIN AGLYCON DERIVATIVE-1	OC1CNC=Nc2c1ncn2Cc3cccc4ccccc34
702639	COFORMYCIN AGLYCON DERIVATIVE-2	CCCOc1ccc(CCCn2cnc3C(O)CNC=Nc32)cc1
702640	COFORMYCIN AGLYCON DERIVATIVE-3	OC1CNC=Nc2c1ncn2CCc3cc(C(=O)O)c(Br)c4CCCCc34
702641	2-BENZYL-6-CHLORO-4-ISOPROPYLSULFONYL-4H-ISOQUINOLINE-1,3-DIONE	CC(C)S(=O)(=O)C1C(=O)N(Cc2ccccc2)C(=O)c3ccc(Cl)cc13
702642	MACROCYCLIC MATRIX METALLOPROTEINASE INHIBITOR-1	CNC(=O)C1CCCCNC(=O)COC(C(CC(C)C)C(=O)N1)C(=O)NO
700285	TROPISETRON	CN1C2CCC1CC(C2)OC(=O)c3c[nH]c4ccccc34
700286	IDOXURIDINE	OCC1OC(CC1O)n2cc(I)c(=O)[nH]c2=O
700288	ILIMAQUINONE	COC1=CC(=O)C(=C(CC2(C)C(C)CCC3(C)C2CCCC3=C)C1=O)O
700339	L-744832	CCC(C)C(COC(Cc1ccccc1)C(=O)NC(CCS(=O)(=O)C)C(=O)OC(C)C)NCC(N)CS
700340	L-772405	OCC(NC1CCN(CCCc2c[nH]c3ccc(cc23)n4cnnc4)CC1)c5ccc(F)cc5
700341	L-ALANINE	CC(N)C(=O)O
700343	L-ARGININE	NC(CCCNC(=N)N)C(=O)O
700344	L-ASPARTIC ACID	NC(CC(=O)O)C(=O)O
700345	GLUTAMIC ACID	NC(CCC(=O)O)C(=O)O
701864	DIPROQUALONE	Cc1nc2ccccc2c(=O)n1CC(O)CO
701866	BETAMICIN	CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(CN)C(O)C(O)C3O)C2O)OCC1(C)O
701867	LERGOTRILE	CN1CC(CC#N)CC2C1Cc3c(Cl)[nH]c4cccc2c34
701868	ZINTEROL	CC(C)(Cc1ccccc1)NCC(O)c2ccc(O)c(NS(=O)(=O)C)c2
701135	METHOXYPROMAZINE	COc1ccc2Sc3ccccc3N(CCCN(C)C)c2c1
701136	DESOXYPYRIDOXINE	Cc1ncc(CO)c(C)c1O
701137	ZOXAZOLAMINE	Nc1nc2cc(Cl)ccc2o1
701138	CHLORMERODRIN	CC(CNC(=O)N)OC[Hg]Cl
701030	3-[3-(DIMETHYLAMINO)PROPYL]-4-METHOXY-N-[4-(4-PYRIDYL)PHENYL]BENZAMIDE	COc1ccc(cc1CCCN(C)C)C(=O)Nc2ccc(cc2)c3ccncc3
701031	7-CHLOROPYRIDO[2,3-B]PYRAZINE-2,3(1H,4H)-DIONE N5-OXIDE	[O-][n+]1cc(Cl)cc2[nH]c(=O)c(=O)[nH]c12
701032	BCX-140	CC(=O)Nc1ccc(cc1NC(=N)N)C(=O)O
701852	CARBENICILLIN INDANYL	CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4CCCc4c3)c5ccccc5)C(=O)N2C1C(=O)O
701853	OXARBAZOLE	COc1ccc2n(C(=O)c3ccccc3)c4CCC(Cc4c2c1)C(=O)O
701854	TRITIOZINE	COc1cc(cc(OC)c1OC)C(=S)N2CCOCC2
701855	CARBOPROST METHYL	CCCCCC(C)(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)OC
701856	FLUOTRACEN	CC1c2ccccc2C(CCCN(C)C)c3cc(ccc13)C(F)(F)F
701859	AZEPEXOLE	CCN1CCc2nc(N)oc2CC1
701860	GUAFECAINOL	CCN(CC)CCOCC(O)COc1ccccc1OC
701861	FENBUFEN	OC(=O)CCC(=O)c1ccc(cc1)c2ccccc2
701862	DICHLORALLYL LAWSONE	OC1=C(CC=C(Cl)Cl)C(=O)c2ccccc2C1=O
701863	NICTINDOLE	CC(C)c1[nH]c2ccccc2c1C(=O)c3cccnc3
701076	ANDROSTA-1,4-DIENE-3,11,17-TRIONE	CC12CC(=O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1=O
701128	MEPHENESIN	Cc1ccccc1OCC(O)CO
701129	PROSULTIAMINE	CCCSSC(=C(C)N(Cc1cnc(C)nc1N)C=O)CCO
701132	AMINOPENTAMIDE	CC(CC(C(=O)N)(c1ccccc1)c2ccccc2)N(C)C
701133	MEPAZINE	CN1CCCC(CN2c3ccccc3Sc4ccccc24)C1
701134	DIETHAZINE	CCN(CC)CCN1c2ccccc2Sc3ccccc13
700376	LINTITRIPT	OC(=O)Cn1c(cc2ccccc12)C(=O)Nc3nc(cs3)c4ccccc4Cl
700379	LOMBAZOLE	Clc1ccccc1C(c2ccc(cc2)c3ccccc3)n4ccnc4
700380	LOMERIZINE	COc1ccc(CN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)c(OC)c1OC
700381	LOPERAMIDE	CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4
700382	LORATADINE	CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1
704757	VIP (10-28) (HUMAN, BOVINE, PORCINE, RAT)	CCC(C)C(NC(=O)C(CO)NC(=O)C(CC(=O)N)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(NC(=O)C(C)NC(=O)C(CCSC)NC(=O)C(CCC(=O)N)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(N)Cc2ccc(O)cc2)C(C)O)C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)N)C(=O)N
701977	ARBAPROSTIL	CCCCCC(C)(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O
705491	PIRAZMONAM	CC(C)(ON=C(C(=O)NC1CN(C(=O)NS(=O)(=O)N2CCN(NC(=O)c3cc(=O)c(O)c[nH]3)C2=O)C1=O)c4csc(N)n4)C(=O)O
705495	FENITROTHION	COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
705501	SUCROSOFATE	OS(=O)(=O)OCC1OC(COS(=O)(=O)O)(OC2OC(COS(=O)(=O)O)C(OS(=O)(=O)O)C(OS(=O)(=O)O)C2OS(=O)(=O)O)C(OS(=O)(=O)O)C1OS(=O)(=O)O
705525	PYRITHIONE	On1ccccc1=S
705529	PROTOPORPHYRIN IX	[Na+].[Na+].Cc1c(CCC(=O)[O-])c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5C=C)c(C)c4C=C)c(C)c3CCC(=O)[O-]
705533	ROXATIDINE ACETATE	CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1
